연번,고유번호,정류소명,정류소주소,읍면동,시설구분
1,1,윤정사앞,충청남도 아산시 배방읍 북수리 886,배방읍,표지판
2,3,북수1리 입구,충청남도 아산시 배방읍 북수리 201,배방읍,시설없음
3,4,회룡2리,충청남도 아산시 배방읍 회룡리 180-5,배방읍,유개승강장
4,5,회룡1리 마을회관,충청남도 아산시 배방읍 회룡리 38-6,배방읍,표지판
5,6,세출리,충청남도 아산시 배방읍 세출리 345-3,배방읍,시설없음
6,11,석당리아랫마을,충청남도 아산시 도고면 석당리 167-2,도고면,표지판
7,12,석당리아랫마을,충청남도 아산시 도고면 석당리 167-2,도고면,표지판
8,15,신덕2리앞뜸,충청남도 아산시 선장면 장곳리 405,선장면,표지판
9,17,뒤뜸,충청남도 아산시 선장면 신덕리 187-1,선장면,표지판
10,18,건너하평,충청남도 아산시 선장면 신덕리 627,선장면,유개승강장
11,20,신덕1리,충청남도 아산시 선장면 신덕리 501,선장면,시설없음
12,21,장곳리,충청남도 아산시 선장면 장곳리 22-1,선장면,유개승강장
13,23,신덕2리,충청남도 아산시 선장면 신덕리 65-107,선장면,유개승강장
14,25,신덕1리사거리,충청남도 아산시 선장면 신덕리 583,선장면,유개승강장
15,30,대정리,충청남도 아산시 선장면 대정리 242,선장면,유개승강장
16,32,신언4리,충청남도 아산시 도고면 신언리 301-2,도고면,표지판
17,34,신언2리,충청남도 아산시 도고면 신언리 139-28,도고면,유개승강장+표지판
18,35,도고아파트,충청남도 아산시 도고면 신언리 106-6,도고면,표지판
19,36,금산리 남성,충청남도 아산시 도고면 금산리 194-10,도고면,유개승강장
20,39,금산리,충청남도 아산시 도고면 금산리 202-2,도고면,표지판
21,40,금산1리 음지말,충청남도 아산시 도고면 금산리 185-2,도고면,유개승강장
22,41,도고아파트,충청남도 아산시 도고면 신언리 106-6,도고면,유개승강장
23,43,신언리삼거리,충청남도 아산시 도고면 신언리 100-6,도고면,유개승강장+표지판
24,48,봉농리 봉암,충청남도 아산시 도고면 금산리 237-1,도고면,유개승강장
25,51,군덕교,충청남도 아산시 도고면 신언리 740-1,도고면,유개승강장
26,54,신성1리,충청남도 아산시 선장면 신성리 277-10,선장면,시설없음
27,56,신성2리,충청남도 아산시 선장면 신성리 186-5,선장면,유개승강장
28,57,신성1리신라리,충청남도 아산시 선장면 신성리 163-1,선장면,표지판
29,58,도고면사무소,충청남도 아산시 도고면 신언리 64-3,도고면,유개승강장
30,59,도고면사무소 온양방면,충청남도 아산시 도고면 기곡리 264-10,도고면,유개승강장
31,60,금산2리 점촌,충청남도 아산시 도고면 금산리 1-11,도고면,유개승강장
32,61,도고온천역,충청남도 아산시 도고면 시전리 362-6,도고면,표지판
33,62,시전1리 동막골,충청남도 아산시 도고면 시전리 429-1,도고면,유개승강장
34,63,시전1리 동막골,충청남도 아산시 도고면 시전리 429-1,도고면,유개승강장
35,64,도고온천역,충청남도 아산시 도고면 시전리 360-1,도고면,표지판
36,65,금산2리 점촌,충청남도 아산시 도고면 금산리 1-11,도고면,유개승강장
37,67,금산3리 해비타트,충청남도 아산시 도고면 금산리 21-10,도고면,유개승강장
38,68,금산2리 쇠골,충청남도 아산시 도고면 금산리 21-11,도고면,유개승강장
39,72,글로리콘도입구,충청남도 아산시 도고면 기곡리 31-9,도고면,시설없음
40,74,도고로얄호텔,충청남도 아산시 도고면 기곡리 174-19,도고면,유개승강장
41,75,한국콘도,충청남도 아산시 도고면 기곡리 270-76,도고면,유개승강장
42,77,kt도고수련관,충청남도 아산시 도고면 기곡리 147-12,도고면,표지판
43,79,도고중학교,충청남도 아산시 도고면 시전리 산4-5,도고면,유개승강장
44,85,화천초등학교,충청남도 아산시 도고면 화천리 179-3,도고면,유개승강장
45,87,화천2리 양천,충청남도 아산시 도고면 화천리 305-5,도고면,표지판
46,89,농은리,충청남도 아산시 도고면 농은리 237-3,도고면,시설없음
47,90,화천2리 양천,충청남도 아산시 도고면 화천리 305-5,도고면,시설없음
48,91,화천2리회관,충청남도 아산시 도고면 화천리 223-1,도고면,시설없음
49,93,도산2리 정촌,충청남도 아산시 도고면 도산리 65-3,도고면,유개승강장+표지판
50,94,도산2리 새말,충청남도 아산시 도고면 도산리 126-3,도고면,유개승강장
51,95,도산2리 노루목,충청남도 아산시 도고면 도산리 158-2,도고면,유개승강장
52,96,신유삼거리,충청남도 아산시 도고면 신유리 70-3,도고면,유개승강장
53,97,신유리 버들목,충청남도 아산시 도고면 신유리 331-2,도고면,유개승강장
54,99,시전3리 강리,충청남도 아산시 도고면 시전리 197-8,도고면,표지판
55,100,와산1리,충청남도 아산시 도고면 와산리 131-1,도고면,유개승강장
56,101,향산리 용호원,충청남도 아산시 도고면 향산리 212-5,도고면,유개승강장
57,102,시전삼거리,충청남도 아산시 도고면 시전리 1-2,도고면,유개승강장
58,103,시전삼거리,충청남도 아산시 도고면 시전리 581-37,도고면,유개승강장
59,104,향산리 용호원,충청남도 아산시 도고면 향산리 103-1,도고면,유개승강장
60,105,와산1리,충청남도 아산시 도고면 와산리 139-3,도고면,유개승강장
61,109,돈포2리 마을회관,충청남도 아산시 선장면 돈포리 636,선장면,유개승강장
62,110,돈포1리,충청남도 아산시 선장면 돈포리 1037,선장면,유개승강장
63,111,돈포2리마을회관,충청남도 아산시 선장면 돈포리 640,선장면,시설없음
64,112,가산2리 가래기,충청남도 아산시 선장면 가산리 895-1,선장면,유개승강장
65,115,월랑1리 새텃말,충청남도 아산시 음봉면 월랑리 311-1,음봉면,유개승강장
66,117,대흥1리,충청남도 아산시 선장면 대흥리 448-1,선장면,시설없음
67,120,군덕3리,충청남도 아산시 선장면 군덕리 233-1,선장면,유개승강장
68,121,돈포2리,충청남도 아산시 선장면 돈포리 788,선장면,유개승강장
69,122,열장원,충청남도 아산시 선장면 돈포리 308-2,선장면,유개승강장
70,123,군덕3리,충청남도 아산시 선장면 군덕리 232-4,선장면,유개승강장
71,127,가산2리 개나리,충청남도 아산시 선장면 신문리 378,선장면,유개승강장+표지판
72,129,신문리회관,충청남도 아산시 선장면 신문리 10-6,선장면,유개승강장
73,130,신문리 돌채,충청남도 아산시 선장면 가산리 135-90,선장면,표지판
74,131,선문대학교,충청남도 아산시 탕정면 갈산리 93-8,탕정면,시설없음
75,133,가산1리 용당,충청남도 아산시 선장면 궁평리 15,선장면,표지판
76,135,궁평1리,충청남도 아산시 선장면 궁평리 25,선장면,유개승강장
77,137,궁평2리,충청남도 아산시 선장면 가산리 391-1,선장면,유개승강장
78,139,구 삼선초등학교,충청남도 아산시 선장면 대흥리 304-50,선장면,표지판
79,141,대흥4리각골,충청남도 아산시 선장면 대흥리 279-5,선장면,유개승강장
80,144,궁평3리회관,충청남도 아산시 선장면 대흥리 321-1,선장면,유개승강장
81,146,대흥3리,충청남도 아산시 선장면 군덕리 산3-6,선장면,유개승강장
82,150,선장면사무소(온양방면),충청남도 아산시 선장면 군덕리 434-8,선장면,유개승강장
83,152,군덕복지회관,충청남도 아산시 선장면 군덕리 429-2,선장면,유개승강장
84,157,선장초등학교,충청남도 아산시 선장면 군덕리 379-5,선장면,유개승강장
85,162,군덕2리회관,충청남도 아산시 선장면 군덕리 105-1,선장면,유개승강장
86,163,군덕2리,충청남도 아산시 선장면 군덕리 146-3,선장면,유개승강장
87,167,문방삼거리,충청남도 아산시 인주면 문방리 97-24,인주면,표지판
88,168,문방삼거리,충청남도 아산시 인주면 문방리 97-9,인주면,표지판
89,169,문방1리 장어촌,충청남도 아산시 인주면 문방리 378-2,인주면,유개승강장
90,170,문방1리 장어촌,충청남도 아산시 인주면 문방리 378-2,인주면,표지판
91,171,문방1리 방아다리,충청남도 아산시 인주면 문방리 408-21,인주면,표지판
92,172,문방2리 방축머리,충청남도 아산시 인주면 문방리 655-20,인주면,유개승강장+표지판
93,174,대음1리 나룻말,충청남도 아산시 인주면 문방리 766-1,인주면,표지판
94,175,대음1리 한뿌리,충청남도 아산시 인주면 대음리 286-2,인주면,표지판
95,176,대음1리 한뿌리,충청남도 아산시 인주면 대음리 245-3,인주면,유개승강장
96,178,대음리,충청남도 아산시 인주면 대음리 34-2,인주면,유개승강장
97,179,문방삼거리,충청남도 아산시 인주면 문방리 97-15,인주면,표지판
98,180,문방1리 세밑마루,충청남도 아산시 인주면 문방리 574-10,인주면,표지판
99,181,문방1리 방아다리,충청남도 아산시 인주면 문방리 408-21,인주면,표지판
100,182,문방2리 방축머리,충청남도 아산시 인주면 문방리 655-20,인주면,유개승강장+표지판
101,183,대음1리 나룻말,충청남도 아산시 인주면 문방리 575-116,인주면,표지판
102,185,현대차사원아파트,충청남도 아산시 인주면 대음리 197-8,인주면,표지판
103,189,해암2리,충청남도 아산시 인주면 해암리 178-3,인주면,표지판
104,190,해암2리,충청남도 아산시 인주면 해암리 172-3,인주면,유개승강장
105,191,해암1리,충청남도 아산시 인주면 해암리 273-3,인주면,유개승강장
106,192,미진아파트,충청남도 아산시 인주면 해암리 287-5,인주면,유개승강장
107,193,미진아파트,충청남도 아산시 인주면 해암리 287-2,인주면,유개승강장
108,194,해암3리,충청남도 아산시 인주면 해암리 330-5,인주면,유개승강장+표지판
109,195,해암3리,충청남도 아산시 인주면 해암리 330-5,인주면,시설없음
110,196,대흥2리,충청남도 아산시 선장면 대흥리 459-1,선장면,유개승강장
111,199,홍곳리,충청남도 아산시 선장면 홍곳리 392-1,선장면,유개승강장
112,200,가내리원안말,충청남도 아산시 신창면 가내리 723-1,신창면,유개승강장
113,201,가내리원안말,충청남도 아산시 신창면 가내리 723-1,신창면,시설없음
114,202,죽산저수지,충청남도 아산시 선장면 선창리 12-44,선장면,표지판
115,203,신동1리입구,충청남도 아산시 선장면 선창리 169-2,선장면,유개승강장+표지판
116,204,선창3리 가장골,충청남도 아산시 선장면 선창리 391-6,선장면,시설없음
117,205,신동2리 마을회관,충청남도 아산시 선장면 신동리 173-2,선장면,표지판
118,206,신동1리,충청남도 아산시 선장면 신동리 324-7,선장면,유개승강장
119,208,신동1리입구,충청남도 아산시 선장면 선창리 169-1,선장면,표지판
120,209,선창2리,충청남도 아산시 선장면 선창리 21-20,선장면,유개승강장
121,210,죽산저수지,충청남도 아산시 선장면 선창리 산19-10,선장면,표지판
122,212,가내리입구,충청남도 아산시 신창면 가내리 406-5,신창면,시설없음
123,214,가내2리 번개말,충청남도 아산시 신창면 가내리 산48-4,신창면,시설없음
124,216,가내1리 조원동,충청남도 아산시 신창면 가내리 183-9,신창면,유개승강장
125,219,해암1리,충청남도 아산시 인주면 해암리 273-1,인주면,표지판
126,220,산양2리,충청남도 아산시 염치읍 산양리 456-4,염치읍,표지판
127,221,산양2리,충청남도 아산시 염치읍 산양리 448-5,염치읍,유개승강장
128,222,도흥2리 작은섬말,충청남도 아산시 인주면 도흥리 223-2,인주면,표지판
129,223,도흥2리 섬말,충청남도 아산시 인주면 도흥리 190-7,인주면,유개승강장+표지판
130,224,도흥1리입구,충청남도 아산시 인주면 해암리 190-5,인주면,표지판
131,225,도흥1리입구,충청남도 아산시 인주면 해암리 190-5,인주면,유개승강장
132,226,창덕에버빌,충청남도 아산시 신창면 신곡리 59-13,신창면,유개승강장
133,228,신곡1리,충청남도 아산시 신창면 신곡리 55-6,신창면,유개승강장
134,229,신곡1리,충청남도 아산시 신창면 신곡리 55-6,신창면,유개승강장
135,230,가덕2리 덕동,충청남도 아산시 신창면 가덕리 519-5,신창면,유개승강장
136,232,가덕2리 금이,충청남도 아산시 신창면 가덕리 376,신창면,유개승강장
137,233,가덕2리 금이,충청남도 아산시 신창면 가덕리 374-2,신창면,시설없음
138,236,궁화2리 신당,충청남도 아산시 신창면 궁화리 679-2,신창면,유개승강장
139,237,궁화2리조내골,충청남도 아산시 신창면 궁화리 543-2,신창면,유개승강장
140,238,죽산리난고개,충청남도 아산시 선장면 죽산리 323-18,선장면,표지판
141,249,궁화1리 준말,충청남도 아산시 신창면 궁화리 788-1,신창면,유개승강장
142,251,궁화리 진너머,충청남도 아산시 신창면 궁화리 353-1,신창면,유개승강장
143,253,죽산리입구,충청남도 아산시 선장면 죽산리 329-9,선장면,유개승강장
144,255,죽산1리 너드리,충청남도 아산시 선장면 죽산리 123-3,선장면,시설없음
145,257,죽산2리 성산,충청남도 아산시 선장면 죽산리 225-3,선장면,유개승강장
146,261,도흥2리 작은섬말,충청남도 아산시 인주면 도흥리 223-2,인주면,표지판
147,262,도흥2리 섬말,충청남도 아산시 인주면 도흥리 203-11,인주면,표지판
148,263,금성초등학교,충청남도 아산시 인주면 금성리 81-1,인주면,시설없음
149,264,금성초등학교,충청남도 아산시 인주면 금성리 81-1,인주면,유개승강장
150,265,현대자동차정문앞,충청남도 아산시 인주면 금성리 119-1,인주면,표지판
151,267,문방3리입구,충청남도 아산시 인주면 문방리 51-1,인주면,시설없음
152,268,문방3리입구,충청남도 아산시 인주면 문방리 51-1,인주면,유개승강장
153,269,관암2리 은고개,충청남도 아산시 인주면 관암리 323-1,인주면,유개승강장
154,270,관암2리 은고개,충청남도 아산시 인주면 관암리 323-1,인주면,유개승강장
155,271,구 인주중학교,충청남도 아산시 인주면 관암리 101-4,인주면,표지판
156,272,구 인주중학교,충청남도 아산시 인주면 관암리 101-4,인주면,유개승강장
157,273,관암1리,충청남도 아산시 인주면 밀두리 239-2,인주면,유개승강장
158,274,관암1리,충청남도 아산시 인주면 밀두리 239-2,인주면,시설없음
159,275,인주농협,충청남도 아산시 인주면 밀두리 158-6,인주면,유개승강장
160,276,인주농협,충청남도 아산시 인주면 밀두리 158-6,인주면,표지판
161,277,밀두2리 세원,충청남도 아산시 인주면 밀두리 274-1,인주면,유개승강장+표지판
162,278,밀두2리 세원,충청남도 아산시 인주면 밀두리 300-3,인주면,스마트승강장
163,279,문방2리 K마트,충청남도 아산시 인주면 밀두리 302-1,인주면,표지판
164,280,문방2리 K마트,충청남도 아산시 인주면 밀두리 302-1,인주면,표지판
165,281,인주초등학교,충청남도 아산시 인주면 걸매리 465-1,인주면,유개승강장+표지판
166,282,인주초등학교,충청남도 아산시 인주면 신성리 185-106,인주면,유개승강장
167,283,걸매리종점,충청남도 아산시 인주면 걸매리 181-7,인주면,표지판
168,284,밀두1리,충청남도 아산시 인주면 밀두리 130-7,인주면,시설없음
169,285,걸매사거리,충청남도 아산시 인주면 밀두리 129-7,인주면,시설없음
170,286,걸매사거리,충청남도 아산시 인주면 밀두리 129-7,인주면,유개승강장
171,287,밀두1리,충청남도 아산시 인주면 밀두리 130-7,인주면,시설없음
172,288,관암리 감나무골,충청남도 아산시 인주면 밀두리 36-42,인주면,유개승강장
173,289,관암리 감나무골,충청남도 아산시 인주면 밀두리 36-42,인주면,시설없음
174,290,관암2리 아산말,충청남도 아산시 인주면 관암리 401-2,인주면,유개승강장
175,291,관암2리 아산말,충청남도 아산시 인주면 관암리 401-2,인주면,표지판
176,292,관암리마을회관,충청남도 아산시 인주면 관암리 430,인주면,표지판
177,293,관암리마을회관,충청남도 아산시 인주면 관암리 125-27,인주면,유개승강장
178,294,관암1리 소애,충청남도 아산시 인주면 관암리 23-4,인주면,표지판
179,295,관암1리 소애,충청남도 아산시 인주면 관암리 23-4,인주면,표지판
180,296,걸매리종점,충청남도 아산시 인주면 걸매리 181-7,인주면,표지판
181,297,공세리입구,충청남도 아산시 영인면 월선리 276-2,영인면,유개승강장
182,298,인주파출소 공세리성당,충청남도 아산시 인주면 공세리 282-1,인주면,유개승강장
183,299,인주파출소 공세리성당,충청남도 아산시 인주면 공세리 282-1,인주면,스마트승강장
184,300,공세리입구,충청남도 아산시 영인면 월선리 276-2,영인면,시설없음
185,301,공세4리,충청남도 아산시 인주면 공세리 133-1,인주면,유개승강장
186,302,공세4리,충청남도 아산시 인주면 공세리 133-1,인주면,유개승강장
187,303,냉정저수지앞,충청남도 아산시 인주면 냉정리 33-15,인주면,유개승강장
188,304,냉정저수지앞,충청남도 아산시 인주면 냉정리 33-15,인주면,표지판
189,305,냉정리 불당골,충청남도 아산시 인주면 냉정리 133,인주면,유개승강장
190,306,냉정리 불당골,충청남도 아산시 인주면 냉정리 133,인주면,표지판
191,307,냉정리 차나물,충청남도 아산시 인주면 냉정리 98-13,인주면,유개승강장+표지판
192,308,냉정리 차나물,충청남도 아산시 인주면 냉정리 98-13,인주면,표지판
193,309,신성리,충청남도 아산시 인주면 신성리 186-3,인주면,유개승강장
194,310,신성리,충청남도 아산시 인주면 신성리 187-9,인주면,표지판
195,311,대진아파트,충청남도 아산시 인주면 공세리 274-3,인주면,표지판
196,312,대진아파트,충청남도 아산시 인주면 공세리 274-3,인주면,표지판
197,313,공세리 동강,충청남도 아산시 인주면 공세리 25-1 광명인력직업소개소 옆,인주면,유개승강장
198,314,공세리 동강,충청남도 아산시 인주면 공세리 26-5,인주면,유개승강장
199,350,동신초등학교,충청남도 아산시 모종동 599,온양3동,유개승강장
200,351,시외버스터미널 스타벅스앞,충청남도 아산시 모종동 568-1,온양3동,유개승강장
201,352,청솔아파트,충청남도 아산시 장존동 305-3,온양6동,유개승강장
202,353,청솔아파트,충청남도 아산시 장존동 516-2,온양6동,유개승강장
203,354,강당골 종점,충청남도 아산시 송악면 강당리 289,송악면,유개승강장
204,355,강당리 돌모랭이,충청남도 아산시 송악면 강당리 129-4,송악면,시설없음
205,356,강당리 돌모랭이,충청남도 아산시 송악면 강당리 129-4,송악면,유개승강장
206,357,강당골 종점,충청남도 아산시 송악면 강당리 289,송악면,시설없음
207,359,용화중학교,충청남도 아산시 용화동 501-1,온양5동,유개승강장
208,360,행목리,충청남도 아산시 신창면 행목리 446-1,신창면,유개승강장
209,362,경희학성아파트,충청남도 아산시 신창면 읍내리 산34-13,신창면,유개승강장
210,363,오암1리 아랫오리실,충청남도 아산시 도고면 오암리 341-1,도고면,유개승강장
211,365,오암1리 윗오리실,충청남도 아산시 도고면 오암리 156-1,도고면,유개승강장
212,366,오암1리 아랫오리실,충청남도 아산시 도고면 오암리 341-1,도고면,표지판
213,368,석당리 마을회관,충청남도 아산시 도고면 석당리 130-3,도고면,유개승강장
214,370,석당교회,충청남도 아산시 도고면 석당리 78-3,도고면,유개승강장
215,371,석당교회,충청남도 아산시 도고면 석당리 78-3,도고면,표지판
216,372,바람내,충청남도 아산시 도고면 와산리 9-6,도고면,표지판
217,373,석당리부모골,충청남도 아산시 도고면 석당리 4-5,도고면,표지판
218,375,진테크,충청남도 아산시 도고면 와산리 19-2,도고면,유개승강장
219,376,읍내리까치골,충청남도 아산시 신창면 읍내리 452-2,신창면,유개승강장
220,377,순천향대학교,충청남도 아산시 신창면 읍내리 667-4,신창면,유개승강장+표지판
221,378,읍내리까치골,충청남도 아산시 신창면 읍내리 452-2,신창면,표지판
222,383,한국폴리텍대학앞,충청남도 아산시 신창면 행목리 347-50,신창면,표지판
223,384,창암2리 불거미,충청남도 아산시 신창면 창암리 138-1,신창면,유개승강장+표지판
224,386,창암3리,충청남도 아산시 신창면 창암리 23-1,신창면,유개승강장+표지판
225,388,창암2리 불거미,충청남도 아산시 신창면 창암리 138-1,신창면,표지판
226,389,한국폴리텍대학앞,충청남도 아산시 신창면 행목리 347-50,신창면,표지판
227,390,창암1리회관,충청남도 아산시 신창면 창암리 158-1,신창면,유개승강장
228,391,창암1리회관,충청남도 아산시 신창면 창암리 158-1,신창면,표지판
229,392,황산2리,충청남도 아산시 신창면 창암리 219-7,신창면,표지판
230,395,창암2리,충청남도 아산시 신창면 창암리 4,신창면,표지판
231,396,강장4거리,충청남도 아산시 송악면 강장리 299-2,송악면,유개승강장
232,397,강장2리,충청남도 아산시 송악면 강장리 302,송악면,유개승강장
233,398,수곡2리,충청남도 아산시 송악면 강장리 9-4,송악면,유개승강장
234,399,수곡1리입구,충청남도 아산시 송악면 동화리 743-1,송악면,시설없음
235,400,수곡1리입구,충청남도 아산시 송악면 동화리 743-1,송악면,유개승강장+표지판
236,401,수곡2리,충청남도 아산시 송악면 강장리 9-4,송악면,표지판
237,402,강장2리,충청남도 아산시 송악면 강장리 302,송악면,표지판
238,403,강장4거리,충청남도 아산시 송악면 강장리 297-2,송악면,시설없음
239,404,강장1리,충청남도 아산시 송악면 강장리 115-1,송악면,유개승강장
240,405,강장1리,충청남도 아산시 송악면 강장리 115-1,송악면,시설없음
241,407,창암2리,충청남도 아산시 신창면 창암리 4,신창면,표지판
242,408,궁평리,충청남도 아산시 송악면 마곡리 326-2,송악면,유개승강장
243,409,유곡1리마을회관,충청남도 아산시 송악면 유곡리 74-7,송악면,유개승강장
244,410,거산초등학교,충청남도 아산시 송악면 송학리 274-5,송악면,유개승강장
245,411,법륜원앞,충청남도 아산시 송악면 송학리 51-2,송악면,표지판
246,412,각흘고개,충청남도 아산시 송악면 거산리 399-2,송악면,유개승강장
247,416,거산2리 성골,충청남도 아산시 송악면 거산리 350-5,송악면,유개승강장
248,417,거산1리회관,충청남도 아산시 송악면 거산리 299-4,송악면,유개승강장
249,418,거산1리 거산골,충청남도 아산시 송악면 거산리 267-4,송악면,유개승강장
250,419,거산1용두원,충청남도 아산시 송악면 거산리 215-16,송악면,표지판
251,420,송학2리,충청남도 아산시 송악면 송학리 140-2,송악면,유개승강장
252,421,법륜원앞,충청남도 아산시 송악면 송학리 51-2,송악면,표지판
253,422,거산초등학교,충청남도 아산시 송악면 송학리 272-2,송악면,유개승강장
254,423,유곡2리입구,충청남도 아산시 송악면 송학리 10-9,송악면,유개승강장+표지판
255,424,유곡1리,충청남도 아산시 송악면 유곡리 56-3,송악면,유개승강장
256,425,봉곡사,충청남도 아산시 송악면 유곡리 582-2,송악면,시설없음
257,426,봉곡사입구,충청남도 아산시 송악면 유곡리 124-1,송악면,표지판
258,427,봉곡사입구,충청남도 아산시 송악면 유곡리 124-1,송악면,시설없음
259,428,유곡1리마을회관,충청남도 아산시 송악면 유곡리 74-8,송악면,시설없음
260,429,유곡1깊은골,충청남도 아산시 송악면 유곡리 480-3,송악면,표지판
261,430,유곡1깊은골,충청남도 아산시 송악면 유곡리 480-3,송악면,시설없음
262,431,유곡1리,충청남도 아산시 송악면 유곡리 56-3,송악면,시설없음
263,432,유곡2리입구,충청남도 아산시 송악면 송학리 10-9,송악면,시설없음
264,433,송학2리,충청남도 아산시 송악면 송학리 140-2,송악면,유개승강장
265,434,거산1용두원,충청남도 아산시 송악면 거산리 214-5,송악면,유개승강장
266,435,거산1리 거산골,충청남도 아산시 송악면 거산리 267-4,송악면,유개승강장
267,436,거산1리회관,충청남도 아산시 송악면 거산리 299-4,송악면,표지판
268,437,거산2리 성골,충청남도 아산시 송악면 거산리 350-5,송악면,유개승강장
269,438,각홀고개,충청남도 아산시 송악면 거산리 399-2,송악면,시설없음
270,443,마곡리입구,충청남도 아산시 송악면 마곡리 353-19,송악면,시설없음
271,444,마곡1리,충청남도 아산시 송악면 마곡리 497,송악면,유개승강장
272,445,마곡리입구,충청남도 아산시 송악면 마곡리 353-19,송악면,시설없음
273,446,마곡리입구,충청남도 아산시 송악면 마곡리 353-19,송악면,유개승강장
274,448,신정호관광지,충청남도 아산시 방축동 467-16,온양4동,유개승강장
275,449,신인동 전의실,충청남도 아산시 신인동 94-7,온양5동,유개승강장
276,450,기산1통,충청남도 아산시 기산동 141-34,온양5동,유개승강장
277,452,초사초등학교입구,충청남도 아산시 초사동 26-1,온양5동,유개승강장
278,453,초사1통 갱티,충청남도 아산시 초사동 553-1,온양5동,유개승강장
279,454,점량동,충청남도 아산시 점양동 95-1,온양4동,유개승강장
280,455,동화1리,충청남도 아산시 송악면 동화리 667-4,송악면,유개승강장
281,456,동화2리 배골,충청남도 아산시 송악면 동화리 411-3,송악면,유개승강장
282,457,동화2리,충청남도 아산시 송악면 동화리 203-2,송악면,유개승강장+표지판
283,458,동화2리 분토골,충청남도 아산시 송악면 동화리 29-3,송악면,유개승강장+표지판
284,459,동화리 송악저수지,충청남도 아산시 송악면 동화리 81-4,송악면,시설없음
285,460,동화리 송악저수지,충청남도 아산시 송악면 동화리 81-4,송악면,표지판
286,461,동화2리 분토골,충청남도 아산시 송악면 동화리 44-4,송악면,표지판
287,462,동화2리,충청남도 아산시 송악면 동화리 203-5,송악면,시설없음
288,463,동화2리 배골,충청남도 아산시 송악면 동화리 418,송악면,시설없음
289,464,동화리,충청남도 아산시 송악면 동화리 671,송악면,유개승강장
290,465,유곡1리 신성강장마을,충청남도 아산시 송악면 유곡리 531-4,송악면,시설없음
291,466,유곡1리 신성강장마을,충청남도 아산시 송악면 유곡리 531-4,송악면,유개승강장
292,467,초사초등학교입구,충청남도 아산시 초사동 26-1,온양5동,유개승강장
293,468,신인1통,충청남도 아산시 신인동 406-1,온양5동,표지판
294,469,기산동,충청남도 아산시 기산동 151-2,온양5동,표지판
295,470,점량동,충청남도 아산시 점양동 115-7,온양4동,표지판
296,471,점등이,충청남도 아산시 점양동 225,온양4동,표지판
297,472,점등이,충청남도 아산시 점양동 225,온양4동,표지판
298,473,법곡동,충청남도 아산시 읍내동 198-5,온양6동,유개승강장
299,474,읍내주공아파트.온양향교,충청남도 아산시 읍내동 230-13,온양6동,유개승강장
300,475,외암리아래삼막골,충청남도 아산시 송악면 외암리 448-3,송악면,유개승강장
301,476,역촌삼거리,충청남도 아산시 송악면 역촌리 291-2,송악면,시설없음
302,477,송남중학교,충청남도 아산시 송악면 역촌리 351-2,송악면,유개승강장
303,478,역촌2리마을회관,충청남도 아산시 송악면 역촌리 348-1,송악면,표지판
304,479,역촌2리마을회관,충청남도 아산시 송악면 역촌리 348-1,송악면,유개승강장
305,480,역촌삼거리,충청남도 아산시 송악면 역촌리 292-4,송악면,유개승강장+표지판
